bpid,mlbid,Name,Year,Age,Team,Role,G,GS,IP,Pitches,,,,,,,,,,,,,,,,,,,,mlbid,Name,Year,Age,Team,Role,G,GS,IP,Pitches
68438,544928,Tyler Lyons,2020,32,NYY,RP,1,0,1.7,29,,,,,,,,,,,,,,,,,,,,544928,Tyler Lyons,2020,32,NYY,RP,1,0,1.7,29
102652,641816,Tyler Mahle,2020,25,CIN,RP,1,0,3.3,63,,,,,,,,,,,,,,,,,,,,641816,Tyler Mahle,2020,25,CIN,RP,1,0,3.3,63
102652,641816,Tyler Mahle,2020,25,CIN,SP,9,9,44.3,789,,,,,,,,,,,,,,,,,,,,641816,Tyler Mahle,2020,25,CIN,SP,9,9,44.3,789
66214,554431,Tyler Matzek,2020,29,ATL,RP,21,0,29,480,,,,,,,,,,,,,,,,,,,,554431,Tyler Matzek,2020,29,ATL,RP,21,0,29.0,480
103494,643511,Tyler Rogers,2020,29,SF,RP,29,0,28,458,,,,,,,,,,,,,,,,,,,,643511,Tyler Rogers,2020,29,SF,RP,29,0,28.0,458
67137,592804,Tyler Thornburg,2020,31,CIN,RP,7,0,7,145,,,,,,,,,,,,,,,,,,,,592804,Tyler Thornburg,2020,31,CIN,RP,7,0,7.0,145
71344,643778,Tyler Webb,2020,29,STL,RP,21,0,21.7,346,,,,,,,,,,,,,,,,,,,,643778,Tyler Webb,2020,29,STL,RP,21,0,21.7,346
111083,676604,Tyler Zuber,2020,25,KC,RP,23,0,22,412,,,,,,,,,,,,,,,,,,,,676604,Tyler Zuber,2020,25,KC,RP,23,0,22.0,412
108984,668338,Tyson Miller,2020,24,CHC,RP,1,0,3,34,,,,,,,,,,,,,,,,,,,,668338,Tyson Miller,2020,24,CHC,RP,1,0,3.0,34
108984,668338,Tyson Miller,2020,24,CHC,SP,1,1,2,42,,,,,,,,,,,,,,,,,,,,668338,Tyson Miller,2020,24,CHC,SP,1,1,2.0,42
101601,624407,Tzu-Wei Lin,2020,26,BOS,RP,1,0,1,22,,,,,,,,,,,,,,,,,,,,624407,Tzu-Wei Lin,2020,26,BOS,RP,1,0,1.0,22
102207,624647,Victor González,2020,24,LAD,RP,14,0,19.3,274,,,,,,,,,,,,,,,,,,,,624647,Victor González,2020,24,LAD,RP,14,0,19.3,274
102207,624647,Victor González,2020,24,LAD,SP,1,1,1,16,,,,,,,,,,,,,,,,,,,,624647,Victor González,2020,24,LAD,SP,1,1,1.0,16
67143,592826,Vince Velasquez,2020,28,PHI,RP,2,0,3,62,,,,,,,,,,,,,,,,,,,,592826,Vince Velasquez,2020,28,PHI,RP,2,0,3.0,62
67143,592826,Vince Velasquez,2020,28,PHI,SP,7,7,31,588,,,,,,,,,,,,,,,,,,,,592826,Vince Velasquez,2020,28,PHI,SP,7,7,31.0,588
47360,451584,Wade Davis,2020,34,COL,RP,5,0,4.3,119,,,,,,,,,,,,,,,,,,,,451584,Wade Davis,2020,34,COL,RP,5,0,4.3,119
51959,453281,Wade LeBlanc,2020,35,BAL,SP,6,6,22.3,366,,,,,,,,,,,,,,,,,,,,453281,Wade LeBlanc,2020,35,BAL,SP,6,6,22.3,366
58453,489119,Wade Miley,2020,33,CIN,RP,2,0,2,25,,,,,,,,,,,,,,,,,,,,489119,Wade Miley,2020,33,CIN,RP,2,0,2.0,25
58453,489119,Wade Miley,2020,33,CIN,SP,4,4,12.3,260,,,,,,,,,,,,,,,,,,,,489119,Wade Miley,2020,33,CIN,SP,4,4,12.3,260
107174,621111,Walker Buehler,2020,25,LAD,SP,8,8,36.7,600,,,,,,,,,,,,,,,,,,,,621111,Walker Buehler,2020,25,LAD,SP,8,8,36.7,600
100525,621141,Walker Lockett,2020,26,SEA,RP,5,0,8.3,115,,,,,,,,,,,,,,,,,,,,621141,Walker Lockett,2020,26,SEA,RP,5,0,8.3,115
100525,621141,Walker Lockett,2020,26,NYM,RP,1,0,2,31,,,,,,,,,,,,,,,,,,,,621141,Walker Lockett,2020,26,NYM,RP,1,0,2.0,31
100525,621141,Walker Lockett,2020,26,NYM,SP,1,1,6,84,,,,,,,,,,,,,,,,,,,,621141,Walker Lockett,2020,26,NYM,SP,1,1,6.0,84
67560,593833,Wander Suero,2020,28,WAS,RP,22,0,23.7,381,,,,,,,,,,,,,,,,,,,,593833,Wander Suero,2020,28,WAS,RP,22,0,23.7,381
67604,593974,Wandy Peralta,2020,28,SF,RP,25,0,27.3,488,,,,,,,,,,,,,,,,,,,,593974,Wandy Peralta,2020,28,SF,RP,25,0,27.3,488
71348,605138,Wes Benjamin,2020,26,TEX,RP,7,0,17.3,309,,,,,,,,,,,,,,,,,,,,605138,Wes Benjamin,2020,26,TEX,RP,7,0,17.3,309
71348,605138,Wes Benjamin,2020,26,TEX,SP,1,1,5,80,,,,,,,,,,,,,,,,,,,,605138,Wes Benjamin,2020,26,TEX,SP,1,1,5.0,80
111103,640444,Wil Crowe,2020,25,WAS,SP,3,3,8.3,194,,,,,,,,,,,,,,,,,,,,640444,Wil Crowe,2020,25,WAS,SP,3,3,8.3,194
51032,501789,Will Harris,2020,35,WAS,RP,20,0,17.7,349,,,,,,,,,,,,,,,,,,,,501789,Will Harris,2020,35,WAS,RP,20,0,17.7,349
58281,519293,Will Smith,2020,30,ATL,RP,18,0,16,252,,,,,,,,,,,,,,,,,,,,519293,Will Smith,2020,30,ATL,RP,18,0,16.0,252
56278,521655,Wilmer Font,2020,30,TOR,RP,21,0,16.3,368,,,,,,,,,,,,,,,,,,,,521655,Wilmer Font,2020,30,TOR,RP,21,0,16.3,368
70481,605441,Yacksel Ríos,2020,27,PIT,RP,3,0,4,62,,,,,,,,,,,,,,,,,,,,605441,Yacksel Ríos,2020,27,PIT,RP,3,0,4.0,62
100720,622075,Yency Almonte,2020,26,COL,RP,24,0,27.7,446,,,,,,,,,,,,,,,,,,,,622075,Yency Almonte,2020,26,COL,RP,24,0,27.7,446
66174,554340,Yimi García,2020,29,MIA,RP,14,0,15,241,,,,,,,,,,,,,,,,,,,,554340,Yimi García,2020,29,MIA,RP,14,0,15.0,241
105434,661255,Yoan López,2020,27,AZ,RP,20,0,19.7,285,,,,,,,,,,,,,,,,,,,,661255,Yoan López,2020,27,AZ,RP,20,0,19.7,285
109030,670990,Yohan Ramirez,2020,25,SEA,RP,16,0,20.7,420,,,,,,,,,,,,,,,,,,,,670990,Yohan Ramirez,2020,25,SEA,RP,16,0,20.7,420
66288,570560,Yolmer Sánchez,2020,28,CHW,RP,1,0,1,13,,,,,,,,,,,,,,,,,,,,570560,Yolmer Sánchez,2020,28,CHW,RP,1,0,1.0,13
102336,630023,Yonny Chirinos,2020,26,TB,SP,3,3,11.3,190,,,,,,,,,,,,,,,,,,,,630023,Yonny Chirinos,2020,26,TB,SP,3,3,11.3,190
53724,673633,Yoshihisa Hirano,2020,36,SEA,RP,13,0,12.3,248,,,,,,,,,,,,,,,,,,,,673633,Yoshihisa Hirano,2020,36,SEA,RP,13,0,12.3,248
53155,506433,Yu Darvish,2020,33,CHC,SP,12,12,76,1153,,,,,,,,,,,,,,,,,,,,506433,Yu Darvish,2020,33,CHC,SP,12,12,76.0,1153
125512,579328,Yusei Kikuchi,2020,29,SEA,SP,9,9,47,795,,,,,,,,,,,,,,,,,,,,579328,Yusei Kikuchi,2020,29,SEA,SP,9,9,47.0,795
45571,433589,Yusmeiro Petit,2020,35,OAK,RP,26,0,21.7,315,,,,,,,,,,,,,,,,,,,,433589,Yusmeiro Petit,2020,35,OAK,RP,26,0,21.7,315
108886,668678,Zac Gallen,2020,24,AZ,SP,12,12,72,1117,,,,,,,,,,,,,,,,,,,,668678,Zac Gallen,2020,24,AZ,SP,12,12,72.0,1117
106081,665093,Zac Grotz,2020,27,SEA,RP,5,0,7.3,202,,,,,,,,,,,,,,,,,,,,665093,Zac Grotz,2020,27,SEA,RP,5,0,7.3,202
70977,605200,Zach Davies,2020,27,SD,SP,12,12,69.3,1055,,,,,,,,,,,,,,,,,,,,605200,Zach Davies,2020,27,SD,SP,12,12,69.3,1055
100518,621107,Zach Eflin,2020,26,PHI,RP,1,0,2.7,33,,,,,,,,,,,,,,,,,,,,621107,Zach Eflin,2020,26,PHI,RP,1,0,2.7,33
100518,621107,Zach Eflin,2020,26,PHI,SP,10,10,56.3,880,,,,,,,,,,,,,,,,,,,,621107,Zach Eflin,2020,26,PHI,SP,10,10,56.3,880
110582,668676,Zach Plesac,2020,25,CLE,SP,8,8,55.3,776,,,,,,,,,,,,,,,,,,,,668676,Zach Plesac,2020,25,CLE,SP,8,8,55.3,776
50155,502154,Zack Britton,2020,32,NYY,RP,20,0,19,289,,,,,,,,,,,,,,,,,,,,502154,Zack Britton,2020,32,NYY,RP,20,0,19.0,289
107552,641420,Zack Burdi,2020,25,CHW,RP,8,0,7.3,168,,,,,,,,,,,,,,,,,,,,641420,Zack Burdi,2020,25,CHW,RP,8,0,7.3,168
100137,643327,Zack Godley,2020,30,BOS,RP,1,0,4,53,,,,,,,,,,,,,,,,,,,,643327,Zack Godley,2020,30,BOS,RP,1,0,4.0,53
100137,643327,Zack Godley,2020,30,BOS,SP,7,7,24.7,500,,,,,,,,,,,,,,,,,,,,643327,Zack Godley,2020,30,BOS,SP,7,7,24.7,500
31734,425844,Zack Greinke,2020,36,HOU,SP,12,12,67,1060,,,,,,,,,,,,,,,,,,,,425844,Zack Greinke,2020,36,HOU,SP,12,12,67.0,1060
102644,641793,Zack Littell,2020,24,MIN,RP,6,0,6.3,117,,,,,,,,,,,,,,,,,,,,641793,Zack Littell,2020,24,MIN,RP,6,0,6.3,117
66213,554430,Zack Wheeler,2020,30,PHI,SP,11,11,71,1078,,,,,,,,,,,,,,,,,,,,554430,Zack Wheeler,2020,30,PHI,SP,11,11,71.0,1078
112434,676879,Aaron Ashby,2021,23,MIL,RP,9,0,20,339,,,,,,,,,,,,,,,,,,,,676879,Aaron Ashby,2021,23,MIL,RP,9,0,20.0,339
112434,676879,Aaron Ashby,2021,23,MIL,SP,4,4,11.7,193,,,,,,,,,,,,,,,,,,,,676879,Aaron Ashby,2021,23,MIL,SP,4,4,11.7,193
71057,607481,Aaron Bummer,2021,27,CHW,RP,62,0,56.3,953,,,,,,,,,,,,,,,,,,,,607481,Aaron Bummer,2021,27,CHW,RP,62,0,56.3,953
107636,650644,Aaron Civale,2021,26,CLE,SP,21,21,124.3,1902,,,,,,,,,,,,,,,,,,,,650644,Aaron Civale,2021,26,CLE,SP,21,21,124.3,1902
120170,667465,Aaron Fletcher,2021,25,SEA,RP,4,0,3.7,86,,,,,,,,,,,,,,,,,,,,667465,Aaron Fletcher,2021,25,SEA,RP,4,0,3.7,86
60619,571901,Aaron Loup,2021,33,NYM,RP,63,0,53.7,796,,,,,,,,,,,,,,,,,,,,571901,Aaron Loup,2021,33,NYM,RP,63,0,53.7,796
60619,571901,Aaron Loup,2021,33,NYM,SP,2,2,3,37,,,,,,,,,,,,,,,,,,,,571901,Aaron Loup,2021,33,NYM,SP,2,2,3.0,37
70943,605400,Aaron Nola,2021,28,PHI,SP,32,32,180.7,2971,,,,,,,,,,,,,,,,,,,,605400,Aaron Nola,2021,28,PHI,SP,32,32,180.7,2971
60915,573062,Aaron Northcraft,2021,31,SD,RP,5,0,8,129,,,,,,,,,,,,,,,,,,,,573062,Aaron Northcraft,2021,31,SD,RP,5,0,8.0,129
67107,592717,Aaron Sanchez,2021,28,SF,RP,2,0,5,95,,,,,,,,,,,,,,,,,,,,592717,Aaron Sanchez,2021,28,SF,RP,2,0,5.0,95
67107,592717,Aaron Sanchez,2021,28,SF,SP,7,7,30.3,500,,,,,,,,,,,,,,,,,,,,592717,Aaron Sanchez,2021,28,SF,SP,7,7,30.3,500
102744,642083,Aaron Slegers,2021,28,LAA,RP,29,0,31,570,,,,,,,,,,,,,,,,,,,,642083,Aaron Slegers,2021,28,LAA,RP,29,0,31.0,570
103333,643256,Adam Cimber,2021,30,MIA,RP,33,0,34.3,491,,,,,,,,,,,,,,,,,,,,643256,Adam Cimber,2021,30,MIA,RP,33,0,34.3,491
103333,643256,Adam Cimber,2021,30,TOR,RP,39,0,37.3,531,,,,,,,,,,,,,,,,,,,,643256,Adam Cimber,2021,30,TOR,RP,39,0,37.3,531
70300,543045,Adam Conley,2021,31,TB,RP,17,0,19.7,296,,,,,,,,,,,,,,,,,,,,543045,Adam Conley,2021,31,TB,RP,17,0,19.7,296
67746,594809,Adam Eaton,2021,32,LAA,RP,1,0,1,21,,,,,,,,,,,,,,,,,,,,594809,Adam Eaton,2021,32,LAA,RP,1,0,1.0,21
67034,592473,Adam Kolarek,2021,32,OAK,RP,12,0,9,190,,,,,,,,,,,,,,,,,,,,592473,Adam Kolarek,2021,32,OAK,RP,12,0,9.0,190
70472,605388,Adam Morgan,2021,31,CHC,RP,34,0,25.3,442,,,,,,,,,,,,,,,,,,,,605388,Adam Morgan,2021,31,CHC,RP,34,0,25.3,442
51434,493603,Adam Ottavino,2021,35,BOS,RP,69,0,62,1149,,,,,,,,,,,,,,,,,,,,493603,Adam Ottavino,2021,35,BOS,RP,69,0,62.0,1149
68656,592644,Adam Plutko,2021,29,BAL,RP,37,0,55.3,990,,,,,,,,,,,,,,,,,,,,592644,Adam Plutko,2021,29,BAL,RP,37,0,55.3,990
68656,592644,Adam Plutko,2021,29,BAL,SP,1,1,1,24,,,,,,,,,,,,,,,,,,,,592644,Adam Plutko,2021,29,BAL,SP,1,1,1.0,24
31361,425794,Adam Wainwright,2021,39,STL,SP,32,32,206.3,3068,,,,,,,,,,,,,,,,,,,,425794,Adam Wainwright,2021,39,STL,SP,32,32,206.3,3068
102443,640470,Adbert Alzolay,2021,26,CHC,RP,8,0,19.3,279,,,,,,,,,,,,,,,,,,,,640470,Adbert Alzolay,2021,26,CHC,RP,8,0,19.3,279
102443,640470,Adbert Alzolay,2021,26,CHC,SP,21,21,106.3,1673,,,,,,,,,,,,,,,,,,,,640470,Adbert Alzolay,2021,26,CHC,SP,21,21,106.3,1673
105321,658431,Adonis Medina,2021,24,PHI,RP,3,0,4,68,,,,,,,,,,,,,,,,,,,,658431,Adonis Medina,2021,24,PHI,RP,3,0,4.0,68
105321,658431,Adonis Medina,2021,24,PHI,SP,1,1,3.7,69,,,,,,,,,,,,,,,,,,,,658431,Adonis Medina,2021,24,PHI,SP,1,1,3.7,69
69545,605288,Adrian Houser,2021,28,MIL,RP,2,0,7,126,,,,,,,,,,,,,,,,,,,,605288,Adrian Houser,2021,28,MIL,RP,2,0,7.0,126
69545,605288,Adrian Houser,2021,28,MIL,SP,26,26,135.3,2226,,,,,,,,,,,,,,,,,,,,605288,Adrian Houser,2021,28,MIL,SP,26,26,135.3,2226
109125,670970,Adrian Morejon,2021,22,SD,SP,2,2,4.7,80,,,,,,,,,,,,,,,,,,,,670970,Adrian Morejon,2021,22,SD,SP,2,2,4.7,80
70885,592716,Adrian Sampson,2021,29,CHC,RP,5,0,11.3,169,,,,,,,,,,,,,,,,,,,,592716,Adrian Sampson,2021,29,CHC,RP,5,0,11.3,169
70885,592716,Adrian Sampson,2021,29,CHC,SP,5,5,24,385,,,,,,,,,,,,,,,,,,,,592716,Adrian Sampson,2021,29,CHC,SP,5,5,24.0,385
108820,669935,A.J. Alexy,2021,23,TEX,RP,1,0,3.7,84,,,,,,,,,,,,,,,,,,,,669935,A.J. Alexy,2021,23,TEX,RP,1,0,3.7,84
108820,669935,A.J. Alexy,2021,23,TEX,SP,4,4,19.3,340,,,,,,,,,,,,,,,,,,,,669935,A.J. Alexy,2021,23,TEX,SP,4,4,19.3,340
68086,595918,A.J. Cole,2021,29,TOR,RP,6,0,8,114,,,,,,,,,,,,,,,,,,,,595918,A.J. Cole,2021,29,TOR,RP,6,0,8.0,114
108235,621345,A.J. Minter,2021,27,ATL,RP,61,0,52.3,876,,,,,,,,,,,,,,,,,,,,621345,A.J. Minter,2021,27,ATL,RP,61,0,52.3,876
109027,640462,A.J. Puk,2021,26,OAK,RP,12,0,13.3,243,,,,,,,,,,,,,,,,,,,,640462,A.J. Puk,2021,26,OAK,RP,12,0,13.3,243
60504,573109,AJ Ramos,2021,34,LAA,RP,4,0,4.7,62,,,,,,,,,,,,,,,,,,,,573109,AJ Ramos,2021,34,LAA,RP,4,0,4.7,62
102528,641384,Akeem Bostick,2021,26,NYM,RP,1,0,1,14,,,,,,,,,,,,,,,,,,,,641384,Akeem Bostick,2021,26,NYM,RP,1,0,1.0,14
104651,656061,Albert Abreu,2021,25,NYY,RP,28,0,36.7,642,,,,,,,,,,,,,,,,,,,,656061,Albert Abreu,2021,25,NYY,RP,28,0,36.7,642
70339,546991,Albert Almora Jr.,2021,27,NYM,RP,1,0,1,28,,,,,,,,,,,,,,,,,,,,546991,Albert Almora Jr.,2021,27,NYM,RP,1,0,1.0,28
67382,593604,Alberto Baldonado,2021,28,WAS,RP,14,0,10.7,215,,,,,,,,,,,,,,,,,,,,593604,Alberto Baldonado,2021,28,WAS,RP,14,0,10.7,215
109452,676424,Alec Bettinger,2021,25,MIL,RP,3,0,6,110,,,,,,,,,,,,,,,,,,,,676424,Alec Bettinger,2021,25,MIL,RP,3,0,6.0,110
109452,676424,Alec Bettinger,2021,25,MIL,SP,1,1,4,89,,,,,,,,,,,,,,,,,,,,676424,Alec Bettinger,2021,25,MIL,SP,1,1,4.0,89
100555,621219,Alec Mills,2021,29,CHC,RP,12,0,19.7,364,,,,,,,,,,,,,,,,,,,,621219,Alec Mills,2021,29,CHC,RP,12,0,19.7,364
100555,621219,Alec Mills,2021,29,CHC,SP,20,20,99.3,1570,,,,,,,,,,,,,,,,,,,,621219,Alec Mills,2021,29,CHC,SP,20,20,99.3,1570
127605,666201,Alek Manoah,2021,23,TOR,SP,20,20,111.7,1845,,,,,,,,,,,,,,,,,,,,666201,Alek Manoah,2021,23,TOR,SP,20,20,111.7,1845
71129,607468,Alex Blandino,2021,28,CIN,RP,4,0,3.7,72,,,,,,,,,,,,,,,,,,,,607468,Alex Blandino,2021,28,CIN,RP,4,0,3.7,72
66960,592222,Alex Claudio,2021,29,LAA,RP,41,0,32.7,587,,,,,,,,,,,,,,,,,,,,592222,Alex Claudio,2021,29,LAA,RP,41,0,32.7,587
50167,502171,Alex Cobb,2021,33,LAA,SP,18,18,93.3,1579,,,,,,,,,,,,,,,,,,,,502171,Alex Cobb,2021,33,LAA,SP,18,18,93.3,1579
55735,517008,Alex Colomé,2021,32,MIN,RP,67,0,65,1102,,,,,,,,,,,,,,,,,,,,517008,Alex Colomé,2021,32,MIN,RP,67,0,65.0,1102
111164,656638,Alex Lange,2021,25,DET,RP,36,0,35.7,641,,,,,,,,,,,,,,,,,,,,656638,Alex Lange,2021,25,DET,RP,36,0,35.7,641
104845,656725,Alex McRae,2021,28,CHW,RP,2,0,2,49,,,,,,,,,,,,,,,,,,,,656725,Alex McRae,2021,28,CHW,RP,2,0,2.0,49
102123,621052,Alex Reyes,2021,26,STL,RP,69,0,72.3,1249,,,,,,,,,,,,,,,,,,,,621052,Alex Reyes,2021,26,STL,RP,69,0,72.3,1249
139955,681911,Alex Vesia,2021,25,LAD,RP,41,0,40,651,,,,,,,,,,,,,,,,,,,,681911,Alex Vesia,2021,25,LAD,RP,41,0,40.0,651
108755,649144,Alex Wells,2021,24,BAL,RP,3,0,5.7,114,,,,,,,,,,,,,,,,,,,,649144,Alex Wells,2021,24,BAL,RP,3,0,5.7,114
108755,649144,Alex Wells,2021,24,BAL,SP,8,8,37,640,,,,,,,,,,,,,,,,,,,,649144,Alex Wells,2021,24,BAL,SP,8,8,37.0,640
100718,622072,Alex Wood,2021,30,SF,SP,26,26,138.7,2195,,,,,,,,,,,,,,,,,,,,622072,Alex Wood,2021,30,SF,SP,26,26,138.7,2195
107169,622065,Alex Young,2021,27,CLE,RP,10,0,10.3,174,,,,,,,,,,,,,,,,,,,,622065,Alex Young,2021,27,CLE,RP,10,0,10.3,174
107169,622065,Alex Young,2021,27,AZ,RP,28,0,34.7,611,,,,,,,,,,,,,,,,,,,,622065,Alex Young,2021,27,AZ,RP,28,0,34.7,611
107169,622065,Alex Young,2021,27,AZ,SP,2,2,7,127,,,,,,,,,,,,,,,,,,,,622065,Alex Young,2021,27,AZ,SP,2,2,7.0,127
70946,607237,Amir Garrett,2021,29,CIN,RP,63,0,47.7,827,,,,,,,,,,,,,,,,,,,,607237,Amir Garrett,2021,29,CIN,RP,63,0,47.7,827
124458,656578,Andre Jackson,2021,25,LAD,RP,3,0,11.7,199,,,,,,,,,,,,,,,,,,,,656578,Andre Jackson,2021,25,LAD,RP,3,0,11.7,199
109065,668687,Andre Scrubb,2021,26,HOU,RP,18,0,19.7,354,,,,,,,,,,,,,,,,,,,,668687,Andre Scrubb,2021,26,HOU,RP,18,0,19.7,354
70416,600921,Andrés Machado,2021,28,WAS,RP,40,0,35.7,627,,,,,,,,,,,,,,,,,,,,600921,Andrés Machado,2021,28,WAS,RP,40,0,35.7,627
52617,452027,Andrew Albers,2021,35,MIN,RP,2,0,6.7,111,,,,,,,,,,,,,,,,,,,,452027,Andrew Albers,2021,35,MIN,RP,2,0,6.7,111
52617,452027,Andrew Albers,2021,35,MIN,SP,3,3,12.3,254,,,,,,,,,,,,,,,,,,,,452027,Andrew Albers,2021,35,MIN,SP,3,3,12.3,254
59597,571479,Andrew Bellatti,2021,29,MIA,RP,3,0,3.3,83,,,,,,,,,,,,,,,,,,,,571479,Andrew Bellatti,2021,29,MIA,RP,3,0,3.3,83
70436,605177,Andrew Chafin,2021,31,OAK,RP,28,0,29.3,384,,,,,,,,,,,,,,,,,,,,605177,Andrew Chafin,2021,31,OAK,RP,28,0,29.3,384
70436,605177,Andrew Chafin,2021,31,CHC,RP,43,0,39.3,563,,,,,,,,,,,,,,,,,,,,605177,Andrew Chafin,2021,31,CHC,RP,43,0,39.3,563
99874,571760,Andrew Heaney,2021,30,NYY,RP,7,0,9.7,188,,,,,,,,,,,,,,,,,,,,571760,Andrew Heaney,2021,30,NYY,RP,7,0,9.7,188
99874,571760,Andrew Heaney,2021,30,NYY,SP,5,5,26,368,,,,,,,,,,,,,,,,,,,,571760,Andrew Heaney,2021,30,NYY,SP,5,5,26.0,368
99874,571760,Andrew Heaney,2021,30,LAA,SP,18,18,94,1697,,,,,,,,,,,,,,,,,,,,571760,Andrew Heaney,2021,30,LAA,SP,18,18,94.0,1697
59541,552640,Andrew Kittredge,2021,31,TB,RP,53,0,65.3,895,,,,,,,,,,,,,,,,,,,,552640,Andrew Kittredge,2021,31,TB,RP,53,0,65.3,895
59541,552640,Andrew Kittredge,2021,31,TB,SP,4,4,6.3,87,,,,,,,,,,,,,,,,,,,,552640,Andrew Kittredge,2021,31,TB,SP,4,4,6.3,87
49617,453192,Andrew Miller,2021,36,STL,RP,40,0,36,620,,,,,,,,,,,,,,,,,,,,453192,Andrew Miller,2021,36,STL,RP,40,0,36.0,620
54877,461865,Andrew Romine,2021,35,CHC,RP,1,0,1,15,,,,,,,,,,,,,,,,,,,,461865,Andrew Romine,2021,35,CHC,RP,1,0,1.0,15
71239,607755,Andrew Vasquez,2021,27,LAD,RP,2,0,1.7,27,,,,,,,,,,,,,,,,,,,,607755,Andrew Vasquez,2021,27,LAD,RP,2,0,1.7,27
140335,681806,Andrew Wantz,2021,25,LAA,RP,21,0,27.3,483,,,,,,,,,,,,,,,,,,,,681806,Andrew Wantz,2021,25,LAA,RP,21,0,27.3,483
70295,542992,Andy Burns,2021,30,LAD,RP,1,0,1,24,,,,,,,,,,,,,,,,,,,,542992,Andy Burns,2021,30,LAD,RP,1,0,1.0,24
101184,622780,Angel Perdomo,2021,27,MIL,RP,19,0,17,354,,,,,,,,,,,,,,,,,,,,622780,Angel Perdomo,2021,27,MIL,RP,19,0,17.0,354
108515,667373,Angel Rondón,2021,23,STL,RP,2,0,2,29,,,,,,,,,,,,,,,,,,,,667373,Angel Rondón,2021,23,STL,RP,2,0,2.0,29
111079,672582,Angel Zerpa,2021,21,KC,SP,1,1,5,68,,,,,,,,,,,,,,,,,,,,672582,Angel Zerpa,2021,21,KC,SP,1,1,5.0,68
71071,607455,Anthony Banda,2021,27,PIT,RP,25,0,26.3,474,,,,,,,,,,,,,,,,,,,,607455,Anthony Banda,2021,27,PIT,RP,25,0,26.3,474
71071,607455,Anthony Banda,2021,27,NYM,RP,5,0,7.3,135,,,,,,,,,,,,,,,,,,,,607455,Anthony Banda,2021,27,NYM,RP,5,0,7.3,135
58823,542914,Anthony Bass,2021,33,MIA,RP,69,0,60.3,947,,,,,,,,,,,,,,,,,,,,542914,Anthony Bass,2021,33,MIA,RP,69,0,60.3,947
58823,542914,Anthony Bass,2021,33,MIA,SP,1,1,1,11,,,,,,,,,,,,,,,,,,,,542914,Anthony Bass,2021,33,MIA,SP,1,1,1.0,11
100659,621532,Anthony Bemboom,2021,31,LAA,RP,1,0,1,21,,,,,,,,,,,,,,,,,,,,621532,Anthony Bemboom,2021,31,LAA,RP,1,0,1.0,21
108828,669622,Anthony Bender,2021,26,MIA,RP,59,0,60.3,957,,,,,,,,,,,,,,,,,,,,669622,Anthony Bender,2021,26,MIA,RP,59,0,60.3,957
108828,669622,Anthony Bender,2021,26,MIA,SP,1,1,1,16,,,,,,,,,,,,,,,,,,,,669622,Anthony Bender,2021,26,MIA,SP,1,1,1.0,16
100687,621593,Anthony Castro,2021,26,TOR,RP,25,0,24.7,455,,,,,,,,,,,,,,,,,,,,621593,Anthony Castro,2021,26,TOR,RP,25,0,24.7,455
70803,543101,Anthony DeSclafani,2021,31,SF,SP,31,31,167.7,2558,,,,,,,,,,,,,,,,,,,,543101,Anthony DeSclafani,2021,31,SF,SP,31,31,167.7,2558
57905,543238,Anthony Gose,2021,30,CLE,RP,6,0,6.7,115,,,,,,,,,,,,,,,,,,,,543238,Anthony Gose,2021,30,CLE,RP,6,0,6.7,115
109127,641743,Anthony Kay,2021,26,TOR,RP,6,0,13.3,257,,,,,,,,,,,,,,,,,,,,641743,Anthony Kay,2021,26,TOR,RP,6,0,13.3,257
109127,641743,Anthony Kay,2021,26,TOR,SP,5,5,20.3,392,,,,,,,,,,,,,,,,,,,,641743,Anthony Kay,2021,26,TOR,SP,5,5,20.3,392
106490,664948,Anthony Misiewicz,2021,26,SEA,RP,66,0,54.7,894,,,,,,,,,,,,,,,,,,,,664948,Anthony Misiewicz,2021,26,SEA,RP,66,0,54.7,894
46761,461872,Anthony Swarzak,2021,35,KC,RP,7,0,7.7,133,,,,,,,,,,,,,,,,,,,,461872,Anthony Swarzak,2021,35,KC,RP,7,0,7.7,133
46761,461872,Anthony Swarzak,2021,35,AZ,RP,6,0,4.7,66,,,,,,,,,,,,,,,,,,,,461872,Anthony Swarzak,2021,35,AZ,RP,6,0,4.7,66
106867,665733,Antonio Santos,2021,24,COL,RP,7,0,11.3,176,,,,,,,,,,,,,,,,,,,,665733,Antonio Santos,2021,24,COL,RP,7,0,11.3,176
101060,622608,Antonio Senzatela,2021,26,COL,SP,28,28,156.7,2405,,,,,,,,,,,,,,,,,,,,622608,Antonio Senzatela,2021,26,COL,SP,28,28,156.7,2405
70431,605151,Archie Bradley,2021,28,PHI,RP,53,0,51,921,,,,,,,,,,,,,,,,,,,,605151,Archie Bradley,2021,28,PHI,RP,53,0,51.0,921
53014,547973,Aroldis Chapman,2021,33,NYY,RP,61,0,56.3,1004,,,,,,,,,,,,,,,,,,,,547973,Aroldis Chapman,2021,33,NYY,RP,61,0,56.3,1004
107264,605521,Art Warren,2021,28,CIN,RP,26,0,21,333,,,,,,,,,,,,,,,,,,,,605521,Art Warren,2021,28,CIN,RP,26,0,21.0,333
